id,beneficio_id,pessoa_id,status_adesao,observacoes,created_at,updated_at
6634ff9b-c93b-4c98-9f40-bea2a940392a,c1308be8-ec81-4f44-9426-a7024187d753,0cd9a02a-1d9a-46bc-b715-e4b1ffd085a2,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
f9c65721-2096-454a-bd9f-eaea33daf8de,260d2246-10b1-4fc6-a804-e3c984b511f0,f5fadcb3-e59c-4a8e-959b-17531ab398af,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
55d354af-3a2a-47a7-b651-722050939e7f,c1308be8-ec81-4f44-9426-a7024187d753,f5fadcb3-e59c-4a8e-959b-17531ab398af,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
b2cbefeb-63d6-4062-abc5-fc55ea72ff04,741f22c3-f0c4-40a7-b7df-049ba1977f96,e267681b-9e6a-42cb-810a-6e8e8b7e94e6,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
4d9ca4d1-180c-4a0c-9c53-f549e87c4675,260d2246-10b1-4fc6-a804-e3c984b511f0,423c68e2-4704-492a-bca0-2c94df111d24,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
4169cdb0-a579-42b9-be02-517398a789ca,c1308be8-ec81-4f44-9426-a7024187d753,8510555e-9480-481f-ab84-fac463f47289,Concluído,Colaborador desligado - não efetuamos a inclusão,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
608d9709-ef18-4497-9c12-d2093475f980,c1308be8-ec81-4f44-9426-a7024187d753,ddf3a8ab-b56a-4b7d-8f08-07a88c53a14f,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
7deb1821-b117-4ba3-a43b-899adfb79159,260d2246-10b1-4fc6-a804-e3c984b511f0,efec03ca-824a-40bc-9bdb-29f23ebdd742,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
30bfbc9f-5cf4-4ded-b83e-208be06f6c7d,c1308be8-ec81-4f44-9426-a7024187d753,fa54dbd2-36da-4386-8e5c-a6c81d448784,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
35cc9e1c-02ef-49d7-89ec-43c4475152b0,260d2246-10b1-4fc6-a804-e3c984b511f0,fa54dbd2-36da-4386-8e5c-a6c81d448784,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
b5348aad-9fe6-4f57-924c-329a6ac2fcaf,c1308be8-ec81-4f44-9426-a7024187d753,f1272f63-54a7-4e83-a2ed-07b976dce86d,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
2da13fa9-ea91-4afa-9b97-3d7d03c81e19,741f22c3-f0c4-40a7-b7df-049ba1977f96,f1272f63-54a7-4e83-a2ed-07b976dce86d,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
4f9b7043-afd2-4b89-ac12-e854ec2b561d,260d2246-10b1-4fc6-a804-e3c984b511f0,4bc961e4-9860-408a-ba48-499df85365d9,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
a27ac5cc-ee19-407c-b824-6773fddab7e8,c1308be8-ec81-4f44-9426-a7024187d753,4bc961e4-9860-408a-ba48-499df85365d9,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
986281d4-1feb-491a-9d1d-0623dba24b43,c1308be8-ec81-4f44-9426-a7024187d753,efec03ca-824a-40bc-9bdb-29f23ebdd742,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
0e093ad0-8e8f-482b-a084-d64de188dcfe,c1308be8-ec81-4f44-9426-a7024187d753,ddf3a8ab-b56a-4b7d-8f08-07a88c53a14f,Concluído,,2026-04-01T20:02:26+00:00,2026-04-01T20:02:26+00:00
