id,pessoa_id,tipo_admissao_id,tipo_contrato,n1_id,n2_id,n3_id,responsavel_rh_id,cargo_id,beneficios_ids,status_dados_pessoais,etapa_atual_id,created_at,updated_at,observacao,gestor_id,primeiro_emprego_clt
ddce84f0-6608-4cc6-bf41-d7b42163a4d5,35cfaeb1-e46e-4faa-8581-bd87db1252c1,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
c73b6217-3d40-4a73-9b85-3910fc33e202,1c442a35-506c-41c0-8a8b-fac4a5787cc0,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
1954399d-dc94-435c-91cb-50a0e7d6ec17,,,Estágio,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
e7999711-bb34-4f94-96ab-78d8e63d2391,38dd25f8-1181-4561-bc49-3a2f6cfbdde9,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
a2f6aae3-edf2-41e8-8999-653af5702bd9,e7134bc2-95d9-425a-b2e9-4f436eb4e466,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
485ec846-c637-422f-a03a-dd6ad618645d,7597f16b-12e0-4ec6-a508-f75277204eb7,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
815f5b69-bedb-4cde-9b5d-9515dd1fdcfd,f5171882-0b29-4a3b-a06d-7c48e9007b3b,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
bd80677a-93bf-4a19-af34-71e2614fa5a6,a1c67c3f-9a81-4572-9b8f-c6f8ef956644,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,7673125c-83da-4b54-98b6-1765324891f4,false
712d0588-7471-402f-b53b-74c60e053ddb,,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
9fb20eb5-77e6-458f-9071-86a23f4409fa,79000e35-6501-4806-a5af-3929867add0a,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
62582138-8d3e-463a-ba1b-9482a2859918,3d9b1531-8b2c-48d8-a041-a6659c9db1d2,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
2762a431-f102-49fc-8391-dd88064d3742,7b5677de-16f1-4eb4-a249-129185b01779,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
347853ed-2ff0-40bf-8ce7-b87a4f471b34,,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
49f279e5-9d6c-48ce-8a16-1b0223263538,232d08a5-20af-4558-80a8-f91f0a50563d,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
b0a5a461-e460-4772-9a66-f49ab9acc494,,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
11fbc2e9-fb99-4065-9ce8-0ba452071184,c523e7b0-bee7-4af5-9178-531e2aa93b30,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,e2c609cc-e42a-49f2-945e-121db208d7df,false
b36769fe-bf0f-4cc0-8b91-717b6d1f71bd,b27c9edc-072c-4624-85bb-125a416ba7f2,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
41bcbfa2-9132-4805-a4fa-213a68e53038,2b8a3a51-9b66-4c10-aff2-1b638635cbbe,,Pessoa Jurídica,,,,,,,Nova solicitação,,2026-03-30T18:45:08+00:00,2026-03-30T18:45:08+00:00,,,false
