id,nome,faixa_salarial_inicio,faixa_salarial_centro,faixa_salarial_topo,senioridade_id,archived_at,created_at
114,Analise | Produto - Analista de Negocios | Requisitos - Pleno,,,,,,2026-03-31T20:46:19+00:00
115,Analise | Produto - Analista de Negocios | Requisitos - Senior,,,,,,2026-03-31T20:46:19+00:00
116,Analise | Produto - Analista de Negocios | Requisitos - Especialista,,,,,,2026-03-31T20:46:19+00:00
117,Analise | Produto - Analista de Sistemas - Junior,,,,,,2026-03-31T20:46:19+00:00
118,Analise | Produto - Analista de Sistemas - Pleno,,,,,,2026-03-31T20:46:19+00:00
119,Analise | Produto - Analista de Sistemas - Senior,,,,,,2026-03-31T20:46:19+00:00
120,Analise | Produto - Analista de Sistemas - Especialista,,,,,,2026-03-31T20:46:19+00:00
121,Analise | Produto - Product Owner (PO) - Junior,,,,,,2026-03-31T20:46:19+00:00
122,Analise | Produto - Product Owner (PO) - Pleno,,,,,,2026-03-31T20:46:19+00:00
123,Analise | Produto - Product Owner (PO) - Senior,,,,,,2026-03-31T20:46:19+00:00
124,Analise | Produto - Product Owner (PO) - Especialista,,,,,,2026-03-31T20:46:19+00:00
125,Arquitetura - Arquiteto(a) Cloud - Junior,,,,,,2026-03-31T20:46:19+00:00
126,Arquitetura - Arquiteto(a) Cloud - Pleno,,,,,,2026-03-31T20:46:19+00:00
127,Arquitetura - Arquiteto(a) Cloud - Senior,,,,,,2026-03-31T20:46:19+00:00
128,Arquitetura - Arquiteto(a) Cloud - Especialista,,,,,,2026-03-31T20:46:19+00:00
129,Arquitetura - Arquiteto(a) de Solucoes / Sistemas - Junior,,,,,,2026-03-31T20:46:19+00:00
130,Arquitetura - Arquiteto(a) de Solucoes / Sistemas - Pleno,,,,,,2026-03-31T20:46:19+00:00
131,Arquitetura - Arquiteto(a) de Solucoes / Sistemas - Senior,,,,,,2026-03-31T20:46:19+00:00
132,Arquitetura - Arquiteto(a) de Solucoes / Sistemas - Especialista,,,,,,2026-03-31T20:46:19+00:00
133,Arquitetura - Arquiteto(a) DevSecOps - Junior,,,,,,2026-03-31T20:46:19+00:00
134,Arquitetura - Arquiteto(a) DevSecOps - Pleno,,,,,,2026-03-31T20:46:19+00:00
135,Arquitetura - Arquiteto(a) DevSecOps - Senior,,,,,,2026-03-31T20:46:19+00:00
136,Arquitetura - Arquiteto(a) DevSecOps - Especialista,,,,,,2026-03-31T20:46:19+00:00
137,Infraestrutura - Analista de Infraestrutura - Junior,,,,,,2026-03-31T20:46:19+00:00
138,Infraestrutura - Analista de Infraestrutura - Pleno,,,,,,2026-03-31T20:46:19+00:00
139,Infraestrutura - Analista de Infraestrutura - Senior,,,,,,2026-03-31T20:46:19+00:00
140,Infraestrutura - Analista de Infraestrutura - Especialista,,,,,,2026-03-31T20:46:19+00:00
141,Infraestrutura - Analista de Banco de Dados / DBA - Junior,,,,,,2026-03-31T20:46:19+00:00
142,Infraestrutura - Analista de Banco de Dados / DBA - Pleno,,,,,,2026-03-31T20:46:19+00:00
143,Infraestrutura - Analista de Banco de Dados / DBA - Senior,,,,,,2026-03-31T20:46:19+00:00
144,Infraestrutura - Analista de Banco de Dados / DBA - Especialista,,,,,,2026-03-31T20:46:19+00:00
145,Infraestrutura - Engenheiro(a) DevOps - Junior,,,,,,2026-03-31T20:46:19+00:00
146,Infraestrutura - Engenheiro(a) DevOps - Pleno,,,,,,2026-03-31T20:46:19+00:00
147,Infraestrutura - Engenheiro(a) DevOps - Senior,,,,,,2026-03-31T20:46:19+00:00
148,Infraestrutura - Engenheiro(a) DevOps - Especialista,,,,,,2026-03-31T20:46:19+00:00
149,Gestao | Agilidade - Scrum Master (SM) - Junior,,,,,,2026-03-31T20:46:19+00:00
150,Gestao | Agilidade - Scrum Master (SM) - Pleno,,,,,,2026-03-31T20:46:19+00:00
151,Gestao | Agilidade - Scrum Master (SM) - Senior,,,,,,2026-03-31T20:46:19+00:00
152,Gestao | Agilidade - Scrum Master (SM) - Especialista,,,,,,2026-03-31T20:46:19+00:00
153,Gestao | Agilidade - Agile Coach - Junior,,,,,,2026-03-31T20:46:19+00:00
154,Gestao | Agilidade - Agile Coach - Pleno,,,,,,2026-03-31T20:46:19+00:00
155,Gestao | Agilidade - Agile Coach - Senior,,,,,,2026-03-31T20:46:19+00:00
156,Gestao | Agilidade - Agile Coach - Especialista,,,,,,2026-03-31T20:46:19+00:00
157,Gestao | Agilidade - Gerente de Projeto - Junior,,,,,,2026-03-31T20:46:19+00:00
158,Gestao | Agilidade - Gerente de Projeto - Pleno,,,,,,2026-03-31T20:46:19+00:00
159,Gestao | Agilidade - Gerente de Projeto - Senior,,,,,,2026-03-31T20:46:19+00:00
160,Gestao | Agilidade - Gerente de Projeto - Especialista,,,,,,2026-03-31T20:46:19+00:00
161,Gestao | Agilidade - Estrategista Digital - Junior,,,,,,2026-03-31T20:46:19+00:00
162,Gestao | Agilidade - Estrategista Digital - Pleno,,,,,,2026-03-31T20:46:19+00:00
163,Gestao | Agilidade - Estrategista Digital - Senior,,,,,,2026-03-31T20:46:19+00:00
164,Gestao | Agilidade - Estrategista Digital - Especialista,,,,,,2026-03-31T20:46:19+00:00
165,Low Code | Plataformas - Desenvolvedor(a) Genexus - Junior,,,,,,2026-03-31T20:46:19+00:00
166,Low Code | Plataformas - Desenvolvedor(a) Genexus - Pleno,,,,,,2026-03-31T20:46:19+00:00
167,Low Code | Plataformas - Desenvolvedor(a) Genexus - Senior,,,,,,2026-03-31T20:46:19+00:00
168,Low Code | Plataformas - Desenvolvedor(a) Genexus - Especialista,,,,,,2026-03-31T20:46:19+00:00
169,Hyperautomation - Desenvolvedor(a) Robtic Process Automation | RPA - Junior,,,,,,2026-03-31T20:46:19+00:00
170,Hyperautomation - Desenvolvedor(a) Robtic Process Automation | RPA - Pleno,,,,,,2026-03-31T20:46:19+00:00
171,Hyperautomation - Desenvolvedor(a) Robtic Process Automation | RPA - Senior,,,,,,2026-03-31T20:46:19+00:00
172,Hyperautomation - Desenvolvedor(a) Robtic Process Automation | RPA - Especialista,,,,,,2026-03-31T20:46:19+00:00
173,Hyperautomation - Analista de Negocios Robtic Process Automation | RPA - Junior,,,,,,2026-03-31T20:46:19+00:00
174,Hyperautomation - Analista de Negocios Robtic Process Automation | RPA - Pleno,,,,,,2026-03-31T20:46:19+00:00
175,Hyperautomation - Analista de Negocios Robtic Process Automation | RPA - Senior,,,,,,2026-03-31T20:46:19+00:00
176,Hyperautomation - Analista de Negocios Robtic Process Automation | RPA - Especialista,,,,,,2026-03-31T20:46:19+00:00
177,Hyperautomation - Arquiteto Robtic Process Automation | RPA - Junior,,,,,,2026-03-31T20:46:19+00:00
178,Hyperautomation - Arquiteto Robtic Process Automation | RPA - Pleno,,,,,,2026-03-31T20:46:19+00:00
179,Hyperautomation - Arquiteto Robtic Process Automation | RPA - Senior,,,,,,2026-03-31T20:46:19+00:00
180,Hyperautomation - Arquiteto Robtic Process Automation | RPA - Especialista,,,,,,2026-03-31T20:46:19+00:00
181,Microsoft - Desenvolvedor AX - Senior,,,,,,2026-03-31T20:46:19+00:00
182,Microsoft - Desenvolvedor AX - Pleno,,,,,,2026-03-31T20:46:19+00:00
183,Backend - Desenvolvedor(a) BackendSQL - Junior,,,,,,2026-03-31T20:46:19+00:00
184,Backend - Desenvolvedor(a) BackendSQL - Pleno,,,,,,2026-03-31T20:46:19+00:00
185,Backend - Desenvolvedor(a) BackendSQL - Senior,,,,,,2026-03-31T20:46:19+00:00
186,BI | Data Science | IA | IoT - Analista - Junior,,,,,,2026-03-31T20:46:19+00:00
187,BI | Data Science | IA | IoT - Analista - Pleno,,,,,,2026-03-31T20:46:19+00:00
188,BI | Data Science | IA | IoT - Analista - Senior,,,,,,2026-03-31T20:46:19+00:00
189,Gestao | Agilidade - Analista de Processos e Governanca - Senior,,,,,,2026-03-31T20:46:19+00:00
190,Backend - Desenvolvedor(a) Backend - PHP + GoLang - Junior,,,,,,2026-03-31T20:46:19+00:00
191,Backend - Desenvolvedor(a) Backend - PHP + GoLang - Pleno,,,,,,2026-03-31T20:46:19+00:00
192,Backend - Desenvolvedor(a) Backend - PHP + GoLang - Senior,,,,,,2026-03-31T20:46:19+00:00
193,Backend - Desenvolvedor(a) Backend - PHP + GoLang - Especialista,,,,,,2026-03-31T20:46:19+00:00
194,Low Code | Plataformas - Desenvolvedor(a)  Liferay - Junior,,,,,,2026-03-31T20:46:19+00:00
195,Product Manager - Júnior,,,,,,2026-03-31T20:46:19+00:00
196,Product Manager - Pleno,,,,,,2026-03-31T20:46:19+00:00
197,Product Manager - Sênior,,,,,,2026-03-31T20:46:19+00:00
